localid,Language,collection,label,description ,definition,status
0,it,substrato,0,sconosciuto,sconosciuto,https://inspire.ec.europa.eu/registry/status/valid
AC,it,substrato,AC,sedimenti marini litoranei,sedimenti marini litoranei,https://inspire.ec.europa.eu/registry/status/valid
ACB,it,substrato,ACB,depositi cementati da carbonati,depositi cementati da carbonati,https://inspire.ec.europa.eu/registry/status/valid
ACC,it,substrato,ACC,depositi di canale tidale,depositi di canale tidale,https://inspire.ec.europa.eu/registry/status/valid
ACD,it,substrato,ACD,sabbie di cordone,sabbie di cordone,https://inspire.ec.europa.eu/registry/status/valid
ACE,it,substrato,ACE,depositi di estuario,depositi di estuario,https://inspire.ec.europa.eu/registry/status/valid
ACF,it,substrato,ACF,depositi di falesia o costa alta,depositi di falesia o costa alta,https://inspire.ec.europa.eu/registry/status/valid
ACP,it,substrato,ACP,depositi di palude salmastra,depositi di palude salmastra,https://inspire.ec.europa.eu/registry/status/valid
ACR,it,substrato,ACR,depositi cementati da sostanza organica e/o ossidi,depositi cementati da sostanza organica e/o ossidi,https://inspire.ec.europa.eu/registry/status/valid
ACS,it,substrato,ACS,depositi di spiaggia,depositi di spiaggia,https://inspire.ec.europa.eu/registry/status/valid
ACT,it,substrato,ACT,depositi di piana tidale,depositi di piana tidale,https://inspire.ec.europa.eu/registry/status/valid
AF,it,substrato,AF,sedimenti fluviali,sedimenti fluviali,https://inspire.ec.europa.eu/registry/status/valid
AFB,it,substrato,AFB,depositi di piena a bassa energia,depositi di piena a bassa energia,https://inspire.ec.europa.eu/registry/status/valid
AFC,it,substrato,AFC,depositi di canale,depositi di canale,https://inspire.ec.europa.eu/registry/status/valid
AFF,it,substrato,AFF,depositi di conoide,depositi di conoide,https://inspire.ec.europa.eu/registry/status/valid
AFH,it,substrato,AFH,colmate,colmate,https://inspire.ec.europa.eu/registry/status/valid
AFP,it,substrato,AFP,depositi di piena ad alta energia,depositi di piena ad alta energia,https://inspire.ec.europa.eu/registry/status/valid
AL,it,substrato,AL,sedimenti lacustri o fluviolacustri,sedimenti lacustri o fluviolacustri,https://inspire.ec.europa.eu/registry/status/valid
ALC,it,substrato,ALC,fanghi calcarei,fanghi calcarei,https://inspire.ec.europa.eu/registry/status/valid
ALD,it,substrato,ALD,fanghi diatomitici,fanghi diatomitici,https://inspire.ec.europa.eu/registry/status/valid
ALF,it,substrato,ALF,argille e limi fluviolacustri,argille e limi fluviolacustri,https://inspire.ec.europa.eu/registry/status/valid
ALR,it,substrato,ALR,sedimenti lacustri grossolani,sedimenti lacustri grossolani,https://inspire.ec.europa.eu/registry/status/valid
