localid,Language,collection,label,description ,definition,status
1,it,uso_suolo,1,superfici artificiali: ambiente urbanizzato,superfici artificiali: ambiente urbanizzato,https://inspire.ec.europa.eu/registry/status/valid
11,it,uso_suolo,11,insediamento residenziale,insediamento residenziale,https://inspire.ec.europa.eu/registry/status/valid
12,it,uso_suolo,12,"insediamento produttivo, servizi, reti, infrastrutture","insediamento produttivo, servizi, reti, infrastrutture",https://inspire.ec.europa.eu/registry/status/valid
13,it,uso_suolo,13,"aree estrattive, cantieri, discariche e terreni artefatti ","aree estrattive, cantieri, discariche e terreni artefatti ",https://inspire.ec.europa.eu/registry/status/valid
131,it,uso_suolo,131,aree estrattiva,aree estrattiva,https://inspire.ec.europa.eu/registry/status/valid
132,it,uso_suolo,132,discarica,discarica,https://inspire.ec.europa.eu/registry/status/valid
133,it,uso_suolo,133,cantiere,cantiere,https://inspire.ec.europa.eu/registry/status/valid
14,it,uso_suolo,14,"area verde urbana; ricreativa e sportive, cimitero","area verde urbana; ricreativa e sportive, cimitero",https://inspire.ec.europa.eu/registry/status/valid
141,it,uso_suolo,141,aree verdi urbane (comprende cimiteri),aree verdi urbane (comprende cimiteri),https://inspire.ec.europa.eu/registry/status/valid
142,it,uso_suolo,142,"aree sportive, ricreative e archeologiche","aree sportive, ricreative e archeologiche",https://inspire.ec.europa.eu/registry/status/valid
2,it,uso_suolo,2,superfici agricole utilizzate,superfici agricole utilizzate,https://inspire.ec.europa.eu/registry/status/valid
21,it,uso_suolo,21,seminativi,seminativi,https://inspire.ec.europa.eu/registry/status/valid
211,it,uso_suolo,211,seminativi in aree non irrigue,seminativi in aree non irrigue,https://inspire.ec.europa.eu/registry/status/valid
2111,it,uso_suolo,2111,seminativi semplici in aree non irrigue,seminativi semplici in aree non irrigue,https://inspire.ec.europa.eu/registry/status/valid
21111,it,uso_suolo,21111,Mais in aree non irrigue,Mais in aree non irrigue,https://inspire.ec.europa.eu/registry/status/valid
21112,it,uso_suolo,21112,Soia in aree non irrigue,Soia in aree non irrigue,https://inspire.ec.europa.eu/registry/status/valid
21113,it,uso_suolo,21113,Barbabietola in aree non irrigue,Barbabietola in aree non irrigue,https://inspire.ec.europa.eu/registry/status/valid
21114,it,uso_suolo,21114,girasole in aree non irrigue,girasole in aree non irrigue,https://inspire.ec.europa.eu/registry/status/valid
2112,it,uso_suolo,2112,vivai in aree non irrigue,vivai in aree non irrigue,https://inspire.ec.europa.eu/registry/status/valid
2113,it,uso_suolo,2113,colture orticole in pieno campo o protette in aree non irrigue,colture orticole in pieno campo o protette in aree non irrigue,https://inspire.ec.europa.eu/registry/status/valid
212,it,uso_suolo,212,seminativi in aree irrigue,seminativi in aree irrigue,https://inspire.ec.europa.eu/registry/status/valid
2121,it,uso_suolo,2121,seminativi semplici in aree irrigue,seminativi semplici in aree irrigue,https://inspire.ec.europa.eu/registry/status/valid
21211,it,uso_suolo,21211,Mais in aree irrigue,Mais in aree irrigue,https://inspire.ec.europa.eu/registry/status/valid
21212,it,uso_suolo,21212,Soia in aree irrigue,Soia in aree irrigue,https://inspire.ec.europa.eu/registry/status/valid
21213,it,uso_suolo,21213,Barbabietola in aree irrigue,Barbabietola in aree irrigue,https://inspire.ec.europa.eu/registry/status/valid
21214,it,uso_suolo,21214,girasole in aree irrigue,girasole in aree irrigue,https://inspire.ec.europa.eu/registry/status/valid
2122,it,uso_suolo,2122,vivai in aree irrigue,vivai in aree irrigue,https://inspire.ec.europa.eu/registry/status/valid
21221,it,uso_suolo,21221,cereali in aree irrigue,cereali in aree irrigue,https://inspire.ec.europa.eu/registry/status/valid
