localid,Language,collection,label,description ,definition,status
0,it,vegetaz,0,sconosciuto,sconosciuto,https://inspire.ec.europa.eu/registry/status/valid
A00,it,vegetaz,A00,formazione di latifoglie sempreverdi,formazione di latifoglie sempreverdi,https://inspire.ec.europa.eu/registry/status/valid
A01,it,vegetaz,A01,lecceta,lecceta,https://inspire.ec.europa.eu/registry/status/valid
A02,it,vegetaz,A02,prevalenza di leccio con sempreverdi,prevalenza di leccio con sempreverdi,https://inspire.ec.europa.eu/registry/status/valid
A03,it,vegetaz,A03,prevalenza di leccio con decidue,prevalenza di leccio con decidue,https://inspire.ec.europa.eu/registry/status/valid
A04,it,vegetaz,A04,prevalenza di sughera,prevalenza di sughera,https://inspire.ec.europa.eu/registry/status/valid
A05,it,vegetaz,A05,prevalenza di sempreverdi secondarie,prevalenza di sempreverdi secondarie,https://inspire.ec.europa.eu/registry/status/valid
A06,it,vegetaz,A06,formazione mista solo sempreverdi,formazione mista solo sempreverdi,https://inspire.ec.europa.eu/registry/status/valid
A07,it,vegetaz,A07,formazione mista con decidue,formazione mista con decidue,https://inspire.ec.europa.eu/registry/status/valid
A08,it,vegetaz,A08,piantagione eucalipto,piantagione eucalipto,https://inspire.ec.europa.eu/registry/status/valid
B00,it,vegetaz,B00,formazione di latifoglie a riposo invernale,formazione di latifoglie a riposo invernale,https://inspire.ec.europa.eu/registry/status/valid
B01,it,vegetaz,B01,prevalenza di roverella,prevalenza di roverella,https://inspire.ec.europa.eu/registry/status/valid
B02,it,vegetaz,B02,prevalenza di cerro,prevalenza di cerro,https://inspire.ec.europa.eu/registry/status/valid
B03,it,vegetaz,B03,prevalenza di farnia,prevalenza di farnia,https://inspire.ec.europa.eu/registry/status/valid
B04,it,vegetaz,B04,prevalenza di rovere,prevalenza di rovere,https://inspire.ec.europa.eu/registry/status/valid
B05,it,vegetaz,B05,prevalenza di frainetto,prevalenza di frainetto,https://inspire.ec.europa.eu/registry/status/valid
B06,it,vegetaz,B06,prevalenza di robinia,prevalenza di robinia,https://inspire.ec.europa.eu/registry/status/valid
B07,it,vegetaz,B07,prevalenza di olmo,prevalenza di olmo,https://inspire.ec.europa.eu/registry/status/valid
B08,it,vegetaz,B08,prevalenza di pioppo tremulo,prevalenza di pioppo tremulo,https://inspire.ec.europa.eu/registry/status/valid
B09,it,vegetaz,B09,prevalenza di castagno,prevalenza di castagno,https://inspire.ec.europa.eu/registry/status/valid
B10,it,vegetaz,B10,prevalenza di carpino nero e frassino,prevalenza di carpino nero e frassino,https://inspire.ec.europa.eu/registry/status/valid
B11,it,vegetaz,B11,prevalenza di carpino bianco,prevalenza di carpino bianco,https://inspire.ec.europa.eu/registry/status/valid
B12,it,vegetaz,B12,prevalenza di faggio,prevalenza di faggio,https://inspire.ec.europa.eu/registry/status/valid
B13,it,vegetaz,B13,faggeta,faggeta,https://inspire.ec.europa.eu/registry/status/valid
B14,it,vegetaz,B14,faggeto abetina,faggeto abetina,https://inspire.ec.europa.eu/registry/status/valid
B15,it,vegetaz,B15,formazione mista solo decidue,formazione mista solo decidue,https://inspire.ec.europa.eu/registry/status/valid
